model_name,top_n_words,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,5,0.92,-0.056165856986348545,-9.501732224924442,1
BERTopic,5,0.9466666666666667,-0.02329535575677418,-9.007526914660831,2
BERTopic,5,0.9466666666666667,-0.08794835919004686,-10.335363910277634,3
BERTopic,8,0.8916666666666667,-0.14186399395881735,-11.462267497304662,1
BERTopic,8,0.925,-0.14725680722682713,-11.663117326274245,2
BERTopic,8,0.9,-0.1631956159181456,-11.78937754904859,3
BERTopic,10,0.9,-0.16782015809160747,-12.176077204408797,1
BERTopic,10,0.92,-0.17457788069981364,-12.27257191809743,2
BERTopic,10,0.9066666666666666,-0.20367812513587358,-12.854947515050776,3
BERTopic,12,0.8888888888888888,-0.2011489471436265,-12.797220441192625,1
BERTopic,12,0.9055555555555556,-0.1987174516360992,-12.695407615207573,2
BERTopic,12,0.9,-0.22089002452807893,-13.140901023604252,3
BERTopic,15,0.8622222222222222,-0.22264907493750724,-13.2352311806178,1
BERTopic,15,0.8933333333333333,-0.229818372735781,-13.414096130973256,2
BERTopic,15,0.8888888888888888,-0.24584179856329705,-13.866745325474414,3
BERTopic,20,0.84,-0.2624973997217511,-14.207841879201643,1
BERTopic,20,0.8533333333333334,-0.26615307687511874,-14.158020266648151,2
BERTopic,20,0.8666666666666667,-0.2843032218444243,-14.881636592887718,3
BERTopic,25,0.8506666666666667,-0.2955857411139497,-15.177836961056093,1
BERTopic,25,0.8373333333333334,-0.2966149115658308,-14.944926603281456,2
BERTopic,25,0.8426666666666667,-0.30758163071411687,-15.328445178202669,3
BERTopic,30,0.8488888888888889,-0.3179389139904282,-15.79611431008509,1
BERTopic,30,0.8377777777777777,-0.3203941705807934,-15.547844002203883,2
BERTopic,30,0.8333333333333334,-0.32812676280515674,-15.858451928988677,3
